100000,10000,11.5882,1
100000,10000,5.77464,2
100000,10000,3.07745,4
100000,10000,1.64393,8
100000,10000,0.869239,16
100000,10000,0.505136,32
100000,30000,34.8553,1
100000,30000,17.5172,2
100000,30000,8.71572,4
100000,30000,4.49519,8
100000,30000,2.40806,16
100000,30000,1.48306,32
100000,50000,58.0765,1
100000,50000,29.1,2
100000,50000,14.5936,4
100000,50000,7.76385,8
100000,50000,4.08684,16
100000,50000,2.30468,32
500000,10000,61.3684,1
500000,10000,31.0922,2
500000,10000,15.7204,4
500000,10000,7.61803,8
500000,10000,3.87329,16
500000,10000,2.24402,32
500000,30000,191.173,1
500000,30000,96.2953,2
500000,30000,45.8336,4
500000,30000,23.129,8
500000,30000,11.5872,16
500000,30000,6.18241,32
500000,50000,320.891,1
500000,50000,160.29,2
500000,50000,77.0489,4
500000,50000,37.5997,8
500000,50000,19.4623,16
500000,50000,11.201,32
1000000,10000,126.446,1
1000000,10000,63.9604,2
1000000,10000,32.4864,4
1000000,10000,14.7712,8
1000000,10000,7.72553,16
1000000,10000,4.31392,32
1000000,30000,369.365,1
1000000,30000,193.939,2
1000000,30000,96.4072,4
1000000,30000,45.4864,8
1000000,30000,23.1151,16
1000000,30000,13.133,32
1000000,50000,636.847,1
1000000,50000,314.394,2
1000000,50000,164.88,4
1000000,50000,76.1503,8
1000000,50000,38.8978,16
1000000,50000,21.442,32
